0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,label
0.13290307,-0.30799133,-0.33358338,-0.2926916,0.11331229,0.3284497,-0.31921524,0.2890612,0.15550534,-0.22225304,0.3460612,-0.091141336,-0.3754429,-0.09572095,-0.2332135,0.27803487,-0.26014322,0.20254819,0.31155246,-0.17887528,-0.21008284,-0.2331643,0.3789542,-0.25609303,0.19088572,0.1703184,-0.22240032,-0.22057147,-0.2302411,0.21268702,0.2814174,-0.3289525,0.3743776,-0.1987752,0.11778181,0.3194918,0.30864534,0.20994566,-0.33824286,0.2556412,0.32497895,-0.18348692,0.16362867,-0.19090758,-0.30999544,0.2445309,-0.17040952,-0.1542052,0.3218918,0.23455384,-0.21817632,-0.34308848,-0.23723076,0.24498272,0.3169062,-0.07732831,-0.2751513,0.2810898,0.30551454,0.32528183,0.043885194,0.3647942,-0.16580583,-0.37471834,0,0.030949418,0.1297293,-0.009736648,-0.18275167,0.3960898,0.39051667,-0.018696072,-0.012722502,0.14131784,0.043697342,-0.077527724,0.022372559,-0.046392974,-0.114166215,-0.055137355,-0.06804801,0,0.0690688,0.0623003,-0.008942791,0.35979035,-0.07733954,-0.1001561,-0.017817114,0.07374743,0.11647675,-0.03133821,0.038220435,0.024251536,0.06137234,-0.054805595,-0.0366815,-0.028668318,0.23478073,0.24125443,-0.14872146,0.072935,-0.009799887,0.28824714,0.23905608,-0.16886365,-0.037708785,0.040109117,-0.17903212,0.23171027,-0.05655774,0.022456476,-0.07133796,-0.034405883,-0.1099364,0.006241852,0.18605007,0.003711653,0.023813067,0.08576671,-0.04671334,0.13077658,-0.030503497,-0.11586552,0.01400298,0,0.3401223,-0.013388404,0.097565375,0.16900685,0.006702522,-0.068508506,-0.082176946,-0.11412148,0.1183194,0.09805001,0.4338962,-0.12544881,-0.021199415,0.24898395,-0.047587927,-0.11590521,-0.050584886,-0.041159645,-0.15167083,-0.002274169,-0.10665289,-0.07148381,0.29994395,0.28381738,-0.06431507,0.25067472,0,-0.13606529,0.32486755,-0.06705086,-0.095667854,0.04534927,0,0,0.2205857,0,0.22530669,0.065659285,0.18651564,0.16604365,-0.027565373,0,-0.002996483,0.2654133,0.14245474,-0.06833535,0,-0.07940143,-0.03188721,0.13061248,-0.014960635,0.31063032,-0.005441888,0.33765414,0,-0.006216058,-0.07008974,-0.032232538,0,-0.09800229,-0.09546819,0.3695861,0.30096132,0.3363471,-0.039547198,-0.09405762,-0.018171214,-0.021509688,0.06994525,0.11491166,-0.059693392,-0.008057736,-0.026669655,-0.000860719,-0.008322422,0.26883805,0.15141904,-0.05094833,0.07760185,-0.001188146,0.007488047,-0.000395404,0
0.22037098,-0.38582477,-0.3673978,-0.35041377,0.2096292,0.4385145,-0.16849339,0.10695493,0.42576817,0.36881498,-0.3505847,-0.38286078,-0.20153387,-0.17026648,0.13170177,0.3677711,-0.06196812,0.07463135,0.26142538,-0.3289081,0.27453774,-0.28331372,0.30174866,-0.000445021,0.14884435,0.42702606,-0.16493703,-0.2182552,-0.14263994,-0.14855345,0.3401007,-0.24119982,0.21174513,-0.3536657,0.12665002,0.35213527,0.4255247,0.23642267,-0.42833814,0.21740448,0.17737976,-0.122702196,0.29375437,-0.06395772,0.30962738,-0.15539694,-0.4201875,-0.19974127,0.16153365,-0.117644385,-0.20588087,0.3061274,-0.16840322,0.07969564,-0.39240807,-0.34454632,-0.4009652,0.118121855,0.48695853,0.18180576,0.3567311,-0.23210551,-0.39789188,-0.2671661,0.27800265,0.083364874,0.078449935,-0.0723018,-0.13019504,0.09027022,0.07675449,0.007021369,-0.057509486,0.20072971,-0.024543094,0.24114946,0,0.23877056,0.21363215,0,0.19008763,0.18796383,0.14435415,0.087245494,0.068584174,0.23009606,-0.11289678,-0.07691355,-0.0089644,-0.050693642,0.102970056,0.23508607,-0.00029286,0.19675712,0.14524907,0.09645512,-0.09966323,-0.08741214,0.14496103,0.28292072,-0.074708074,0.20289642,0.19093005,0,0,-0.061949514,0.24138652,0.27897382,0,0.07158573,-0.054528303,-0.0679589,-0.06173258,0.07394433,0.19984394,-0.003855936,-0.06909355,0.15086757,0.21008585,-0.007424064,-0.020796798,0.09559264,0.19088897,0.22411633,0.2951113,0.11948655,-0.019520525,-0.052639864,-0.00269989,0,-0.07097984,-0.041172195,0.3122338,0.3834644,-0.004365554,0.054887004,-0.01224824,0.22595446,-0.009357931,-0.08487658,-0.045156132,-0.005208802,0.03535769,0,0,0.26163626,-0.039234158,0.29566795,-0.018748216,-0.003820964,-0.013388166,-0.003742755,0.21480812,-0.05964247,0,0,0.35515732,-0.015575232,0.10266566,0.13256793,-0.15478286,0.015248013,0.2958231,0.14484519,0.13685898,0.35667032,-0.04594986,-0.058689255,-0.2672325,-0.2588425,0.1644028,0.010782233,-0.000548201,-0.074390374,0.12512957,0.28750646,-0.00140209,0.10838089,0.031198896,0,0.26252958,0,0,0.028770601,0.028369566,-0.04572033,-0.003428493,0.051161416,-0.07511858,0,-0.098967806,-0.0851268,-0.002732946,-0.3437192,0,0.008654538,0.005411714,-0.006918994,0.34103394,-0.005418652,0,-0.13816401,0.17140013,-0.13804573,0.056610815,-0.17423876,-0.002460258,0,0
0.13346261,-0.329951,-0.2950185,-0.36173683,0.21986413,-0.32165012,-0.23413222,0.28122002,0.21745053,-0.31928664,0.3195099,-0.14324716,-0.34844086,-0.16087186,0.2341193,0.2645214,-0.16612768,0.23827113,0.25469685,-0.1353172,-0.32977435,0.11949042,0.2606754,-0.2439521,0.22130336,0.21259034,-0.14177337,0.13086173,-0.22192706,0.21527795,-0.2452608,-0.31356543,0.30210695,-0.19248484,0.16917467,-0.13114023,0.27000472,0.1679203,-0.33159173,0.11663583,0.3096551,-0.21454982,0.16060673,-0.31307143,0.15794931,0.28624403,-0.20677626,-0.16608511,0.32368526,-0.13927336,-0.21765743,0.2986052,-0.17174977,0.22864169,-0.28772438,-0.20674849,-0.27222678,0.30930316,0.26574266,0.2634512,-0.20387608,0.34837306,-0.20578204,-0.2880018,-0.10517465,0.2144321,0,0.18509032,0,0.13692272,0.29311407,0.17387854,0.25915596,-0.008312508,-0.032694783,-0.17184791,0.105954535,-0.017497776,-0.03130447,-0.020034054,-0.07784399,-0.13060074,0.045136143,-0.08596165,0,-0.037828762,-0.052383624,-0.049091935,-0.017174553,-0.007886726,-0.073211804,-0.002687619,-0.035979606,-0.006470121,0.016481943,-0.17363313,0.03880705,-0.0619314,-0.007959642,-0.011715492,-0.105476275,0.04366928,0.41025516,0.2558025,0.17114064,-0.13676289,-0.031196225,0.12523916,-0.10222113,0.49363443,-0.12390735,0,-0.035707995,0,-0.091827214,0.1360573,0.43298295,-0.12179628,-0.029540814,-0.043408237,-0.049029604,-0.02745599,-0.00889545,-0.028883573,-0.14913,-0.0063381,0.04963688,-0.039471503,0.40842497,0.11801235,-0.0520914,-0.060420748,-0.025426082,-0.104482844,0.4514504,0.12260184,0.058034558,-0.094870806,0.13537204,0.16588637,0.18087412,-0.100700855,-0.01943278,0,-0.15360282,-0.027050255,-0.14708471,-0.02166758,-0.029007718,0.014470908,0,0.35377553,-0.018472334,0,0.020644156,-0.0915059,-0.070012785,-0.0467924,-0.09797848,0.13756509,0.0756427,0,0.04004277,0.37434942,0,-0.011784272,-0.05845667,-0.07697858,0,0.20955601,-0.044285987,-0.03987074,0,-0.08034191,-0.04681488,0.04109443,0.32689267,0.408882,-0.024998553,0.11318325,0,-0.07480319,0.012440149,-0.06877633,0.22262284,-0.03586535,0.201189,0.15571167,-0.002329692,-0.008899615,-0.07664254,-0.043818574,0.28374967,-0.022313096,0.30443057,0.018053623,-0.007904558,0,0.08263928,0.18254612,-0.043382823,0.012290152,0.08744756,-0.111443646,0.34113213,0,0.10378909,-0.01932846,0
0.27489346,0.13008015,0.036309548,-0.33946759,0.40010688,0.51091933,-0.2954191,0.324113,0.031127091,0.2890615,0.24912038,-0.18519512,0.050296407,-0.40751204,0.3666341,0.027974531,-0.4257844,0.37828574,0.030387858,-0.34637198,-0.2626109,-0.25996,0.3647151,-0.38236296,0.40231806,0.18231827,-0.37878254,-0.29009536,-0.1981612,0.26932058,-0.010548872,-0.14377955,0.32305264,-0.259264,0.13750641,0.15283182,-0.056782752,0.081193864,-0.1887945,0.36260086,0.14765167,-0.35203055,0.25636837,-0.3703532,0.3192531,0.26220638,-0.18447442,-0.3548656,0.2848436,-0.27220842,-0.491258,-0.062135786,-0.20577346,0.47188094,0.007498306,-0.21273738,-0.092533305,0.33395052,0.49115434,0.15585105,0.32925302,-0.2559525,-0.21182472,-0.30567244,-0.06559758,-0.020354595,-0.024419932,0.083818376,-0.15513685,-0.070620686,-0.066324644,0.19042411,-0.0141181,-0.07298675,-0.04655378,-0.10458354,-0.10163436,-0.022064883,0,0.17823298,-0.020709734,0.48511177,0.11820158,0,0.18886958,-0.009527828,-0.011878218,-0.03959937,0.33787826,-0.007426648,-0.10735772,-0.016500924,-0.068216436,0,0.074068785,-0.0848601,0,-0.02267447,0.079899676,-0.046130236,-0.079777285,0.37960806,0.25509232,-0.066729635,0.10001676,0,0.3089256,0.25816503,-0.114387944,-0.03230823,-0.025069978,0.10152577,-0.054296404,0.1725633,-0.031753592,-0.123489566,-0.12277423,-0.03417791,0.2632286,-0.08097947,-0.08170384,-0.020361453,0.063640215,0.15071397,0.017273726,-0.07677469,-0.06467145,-0.04168122,0.11696048,-0.011742638,-0.059193496,0.30547473,0.39411336,0.04067109,-0.001902717,0.048671506,-0.029872458,0.25038043,0,-0.10429311,0,0,0.06147083,0.24966617,0.35987297,-0.011370385,-0.08739931,-0.039699774,-0.039868936,-0.09004747,0.26364425,-0.03356546,0.17228766,-0.00442818,-0.021455724,0.27118406,-0.043747626,0.27463707,-0.04659644,0,-0.2151039,-0.098820426,-0.003685666,0.2799909,0.38029814,0,-0.012017684,-0.07779392,-0.14114095,-0.16137922,0.33058664,-0.13529547,-0.16795895,0,-0.09065351,-0.09304107,-0.078580745,0.0514587,-0.04082423,0.36873984,0.028497271,-0.04323915,0.14943141,-0.0677545,-0.020746736,-0.02625992,-0.046708535,-0.01037052,-0.1497974,-0.16486724,-0.12809363,-0.014158437,-0.16802327,-0.124859735,-0.074918166,-0.1439391,-0.10657803,0,-0.053020556,-0.20289393,-0.11450213,-0.15532151,-0.04473512,-0.037548233,0.24705388,0,-0.14775565,-0.037286002,0
0.04638165,-0.13658157,-0.26013073,-0.28300175,0.12209878,0.16850668,-0.2509711,0.044187263,-0.003110265,-0.20191363,0.18190579,-0.118655376,-0.29837197,-0.027887098,0.038739268,-0.033695783,-0.000151317,0.16184719,0.07074091,-0.15968494,-0.18186212,-0.048301104,0.14770137,-0.15103444,0.16492164,-0.0318087,-0.13070199,-0.12005612,0.060305588,-0.006178653,0.25472325,-0.016166354,0.055675603,-0.18188146,0.098353304,0.31928247,0.1416498,0.20733453,-0.072682045,0.14395681,0.20582396,0.042525977,0.0361684,-0.16299736,-0.12970474,-0.060436882,-0.0775552,-0.04397676,0.12849301,0.14295869,-0.14679776,0.09861255,-0.12034234,0.020561902,-0.16824912,-0.13212861,-0.25387606,0.045468964,0.18719971,0.036130898,0.021944264,0.12005379,-0.15943444,-0.19985831,-0.041070856,0.17002143,0,-0.034170754,-0.15492523,0.22897156,0.28866485,0.02935055,-0.013522161,0.075159416,0.18066293,-0.077380806,-0.012656132,0,-0.07808519,-0.006356169,-0.050894808,0.27277702,0.28918868,-0.039675847,0.20743246,0.41362527,-0.060887735,-0.09419714,0.16357692,0.15421347,-0.010038011,-0.04534439,-0.017154088,0.1341182,0.2333804,-0.057360843,-0.058394443,-0.04033228,0.29433608,0.039620314,-0.11665704,0.25444955,0.038242772,0.08374686,0.035613004,-0.105313465,-0.002332596,0.098570764,-0.12937303,0.12940884,-0.05235881,-0.029258292,-0.10568623,0.008694952,-0.16788992,-0.04257869,-0.001019753,0.013429067,0.29160157,0.2277984,-0.12060318,0,0.05026844,-0.046986286,0.15103655,0,0.1541945,-0.06815008,0.19803254,-0.018825512,-0.009277537,0,-0.012490734,-0.082593344,0.3082159,0.15636069,0,0.006044313,-0.12214692,0.027870806,-0.09030817,-0.17548038,-0.038095858,0.09555267,-0.08505305,0.13432693,-0.149535,-0.04670318,0.34866893,0.12643045,-0.029507667,0.37642208,-0.026460966,-0.14882167,0.32036564,-0.06703432,0,0.16273533,0.15934752,-0.089467354,0.39504892,0,-0.009236046,-0.006541211,0,-0.011467241,0.077032395,-0.023219574,0.19322242,0.21185398,0.031629544,-0.09051415,0.15105613,-0.11768881,0.05209678,-0.058706008,0.09720498,0.2759482,-0.07150653,0.37449434,-0.08943636,-0.038936503,0.009567095,0.03919703,0,-0.11588982,0.059262924,0.34159046,0.05025241,0.3408552,-0.024440961,-0.12526752,0.18557623,0,0.1780961,-0.025205716,-0.098455824,0.11399995,-0.041673146,0.07500317,-0.003034812,0.20810886,0.2060957,-0.07419373,0.027499525,-0.013558567,0.051230434,0.023142084,0
0.15178719,-0.3563249,-0.24435508,-0.34333205,0.15991098,-0.33725318,-0.25923467,0.2947461,0.2241459,-0.2884525,0.31215107,-0.17506391,-0.34099424,-0.14126085,0.2651439,0.30509385,-0.16723368,0.2573589,0.2768211,-0.1372477,-0.28993267,0.082223915,0.2900543,-0.30674595,0.25709617,0.1982172,-0.1263863,0.11966013,-0.20463035,0.20397517,-0.2150837,-0.2984975,0.29405156,-0.17751694,0.1866426,-0.14516132,0.29561102,0.15949522,-0.30925503,0.15555538,0.37565172,-0.19073366,0.1515938,-0.31520045,0.13786976,0.35370347,-0.25435582,-0.12819982,0.30177835,-0.16323774,-0.23526734,0.30988055,-0.21068166,0.28179732,-0.3923801,-0.14524795,-0.23587635,0.28262332,0.3689485,0.2921287,-0.21203934,0.3390394,-0.2011304,-0.3571959,0.27149352,0.08141298,0.07661312,-0.07060893,-0.12714666,0.08815665,0.07495737,0.006856971,-0.056162965,0.19602984,-0.023968445,0,0.08441344,0.23318,0.20863019,0.1899638,0.18563694,0.18356286,0.14097425,0.08520274,0.06697835,0.22470862,-0.11025342,-0.0751127,-0.008754509,0,0.10055912,0.22958179,-0.000286003,0.19215026,0.14184822,0,-0.09732972,-0.08536548,0.14156693,0.27629644,-0.072958864,0.19814582,0.18645963,0.23021688,-0.000923284,-0.06049903,0.23573472,0.27244195,-0.12981853,0.069909625,-0.053251583,-0.066367716,-0.06373222,0.076339535,0,-0.003980838,-0.07133163,0.15575448,0.21689096,-0.007664544,-0.021470448,0.09868908,0.19707225,0.2313759,0.30467054,0.12335695,0,-0.054344974,-0.002787345,-0.042316943,-0.07327902,-0.042505845,0.32234767,0.3958856,0,0.056664906,0,0.23327358,0,-0.087625906,-0.04661883,-0.005377525,0.036503,0.22531453,-0.005502172,0,-0.040505033,0.30524522,-0.01935551,-0.003944733,-0.013821836,-0.003863991,0.22176619,0,0.033501808,-0.021325989,0.36666158,-0.016079744,0.10599121,0.13686207,-0.14448486,0.014233533,0.2761414,0.13520835,0,0.33294037,-0.042892728,-0.054784548,-0.24945304,-0.24162121,0.15346476,0.010064871,-0.000511728,-0.06944104,0.11680445,0.2683781,0,0.1011701,0.029123174,0.13625649,0.24506299,0.12231434,0.08253746,0.026856437,0.026482085,-0.042678468,-0.003200389,0.047757547,-0.0701208,0.06788341,0,-0.079463154,-0.002551118,-0.3208509,-0.19193524,0,0.005051663,-0.00645866,0.3183443,-0.005058139,-0.2677221,-0.1289717,0.15999655,-0.12886128,0.05284439,-0.16264632,-0.002296572,0.009927023,0
0.11175499,-0.4818642,-0.087140165,-0.08225232,-0.23077342,0.3202573,-0.39768195,0.4683037,0.4993428,0.3753712,0.49427637,-0.11590206,-0.29356706,-0.3405582,0.24087805,0.044711918,0.042358045,0.28018996,0.22984351,-0.32802325,-0.35218006,-0.33727238,-0.042283796,-0.33751908,0.25608337,0.33682072,-0.1673776,-0.23829357,-0.09373632,0.4574713,-0.029812416,-0.26632267,0.28221333,-0.25641787,0.004143978,0.5863367,0.3872929,-0.14322461,-0.11557883,0.08432815,0.06993283,-0.43819728,0.12654735,-0.52954805,0.10137728,0.4577602,0.02168668,-0.12298538,0.19437304,0.2748814,-0.12462246,0.39962232,-0.2033861,-0.10221813,-0.2622258,0.06357484,-0.44210052,0.14629428,-0.06915538,0.14816076,0.2763647,0.42791018,-0.17853747,-0.3127023,0.04858527,0.1691143,0.30480158,0.1007964,-0.11753122,0.10530114,0.05571975,-0.004084542,-0.008474601,0.34697503,0.18585914,0.086036265,0.23750603,0.036462355,-0.022058694,-0.06299493,0.09283324,0,-0.053461842,0.25588813,-0.07422552,0,0.061227325,-0.06779858,-0.048213303,-0.00880725,0.31905946,-0.043623824,0.15942663,-0.035880934,-0.050589852,-0.008388284,-0.00526084,-0.017037457,0.009343538,0.35298198,-0.08739222,-0.042986516,-0.046178363,0.2641572,0.19014929,-0.07017561,0.11454831,-0.05097123,-0.09755132,0.31271747,-0.000321141,0.12881884,-0.03523025,-0.09660254,-0.0752508,0.119291514,0.3118173,0.17411497,-0.14018078,0.21463655,0.38926494,0.20339252,-0.17384909,-0.1474879,0,-0.023155805,0.15720932,-0.014941441,-0.017563427,0.16185604,-0.000604767,-0.11139536,-0.10086915,-0.14340614,-0.09164712,-0.060305223,0,-0.25028744,0.12885116,0.047295526,0.2933017,-0.040053736,-0.07662733,-0.02604404,-0.1613649,0.09550606,-0.069837146,0.12554838,-0.055222176,0.30120912,-0.065375455,-0.036334712,-0.26327634,-0.05642436,-0.032512695,-0.08752006,-0.038226444,-0.10327906,0,-0.007378031,0,0.22194296,0.3486304,-0.027859313,-0.1013245,0.29542598,0,-0.06896055,-0.015531594,-0.031421736,-0.00636353,0.18329369,-0.020486599,0,-0.09575449,0.29547977,0.107931264,-0.14229733,0.14222732,-0.024812434,-0.038920913,0.000191478,0.12188168,-0.014562719,-0.1448582,-0.006160229,0.17955354,-0.105989724,0.039108895,-0.06942603,0.24194288,-0.02170429,-0.004902652,0.14389637,-0.03953093,0.19976707,0.286835,0,0.31467238,-0.08313829,0.020024728,-0.024688348,-0.06784992,-0.033096638,-0.10305375,0.253679,-0.04602901,0.2469385,0
0.17561488,-0.37150127,-0.2589334,-0.3267176,0.18150328,-0.30040708,-0.30016628,0.30681637,0.21950793,-0.33923128,0.34746975,-0.15165083,-0.35674512,-0.15489523,0.21445602,0.32269734,-0.1743107,0.2095401,0.28087354,-0.13624544,-0.23820168,0.14151694,0.29170933,-0.3211542,0.25880796,0.17853457,-0.14318228,0.1305939,-0.21989101,0.18668003,-0.23543034,-0.24026471,0.29320866,-0.15141077,0.13780266,-0.14881086,0.23917417,0.113833986,-0.31285864,0.16545448,0.35805926,-0.20260742,0.13319935,-0.34151474,0.16002178,0.28905934,-0.24291007,-0.14404036,0.3079471,-0.14559522,-0.17051701,0.34392965,-0.2561617,0.2815326,-0.3324423,-0.16850457,-0.24513721,0.31756875,0.34122032,0.31305787,-0.17201757,0.32112968,-0.1840019,-0.34535754,-0.084061116,0.06816867,0.16804206,0.17852575,-0.056221556,-0.015938789,0.11230805,0.11739831,0.31989115,-0.016861945,-0.049150158,-0.14121968,0.15156145,0.0433005,0.1729584,-0.00446202,-0.0385946,-0.17978218,-0.015970314,-0.07108693,-0.161998,0,-0.023608288,0.018409755,-0.06025707,-0.025702333,-0.071662545,0.28206953,0,-0.021321874,-0.02892277,-0.15187909,0.26602498,-0.041974034,-0.033767466,-0.02795405,-0.037203185,0,0.44488975,0.21719661,0.14329962,-0.07924501,-0.01089297,0.12278211,-0.01526164,0.40341634,-0.11437127,0,-0.045008987,-0.034065805,-0.03685394,0.02340728,0.44671223,0,-0.061877266,-0.054652378,-0.01887318,0.042487234,-0.07239879,-0.10430012,-0.087285586,-0.038360085,0.30345792,-0.03427168,0.2117032,0.118899435,-0.0065462,-0.03143475,-0.042875234,-0.19323964,0.35287732,-0.016112704,0.03651199,-0.17738879,-0.046178933,0.37297568,0.28744096,-0.07849492,-0.043429,0.010810856,-0.11223158,0.24272677,-0.15216856,-0.033071272,-0.071481764,-0.004164821,-0.061098784,0.011794536,-0.1265934,-0.13931422,-0.03225008,-0.12700714,-0.05819783,-0.051897947,-0.12136195,0.030890342,0.04108896,-0.010839584,0.19556524,0.32866293,0.2834114,0.08994002,-0.067248344,-0.06715473,-0.008523793,0.057781592,-0.029795844,-0.004582201,0.2823053,-0.030137653,-0.028614251,0.17385375,0.26039135,0.29202908,0.04320064,0.16050805,-0.009979727,-0.08048006,0.10143968,-0.034824923,0.070824,0,0.24210331,0.123570204,0.038519837,-0.040432215,-0.04605197,-0.013421294,0.21578424,0,0.16033913,0.054728676,0.10820097,0.07712384,0.22076775,0.1107502,-0.031640507,-0.001476024,0.028133783,0,0.3502022,-0.023184909,0.15090998,0.23179944,0
0.12806454,-0.33691987,-0.23431194,-0.33408362,0.1658686,-0.32820433,-0.22780466,0.27468747,0.22787096,-0.29086366,0.3610036,-0.17513558,-0.3427397,-0.16412406,0.19373073,0.2741407,-0.18046135,0.24621329,0.3142273,-0.12124589,-0.28117454,0.15616992,0.27840164,-0.26637197,0.29180384,0.21314166,-0.13323048,0.16929826,-0.20511803,0.25575826,-0.20712365,-0.23390205,0.2964222,-0.16946883,0.1723693,-0.1836134,0.29557973,0.120227166,-0.32219353,0.17709452,0.32017183,-0.2011204,0.13220721,-0.3493007,0.15159993,0.35461468,-0.20195828,-0.0981395,0.3087338,-0.13797936,-0.19188282,0.3192717,-0.2422299,0.22837314,-0.30516988,-0.17005384,-0.24063589,0.29136914,0.28526494,0.3177107,-0.16749726,0.30943415,-0.22609417,-0.27929682,0.27670264,0.08297504,0.07808308,-0.0719637,-0.12958622,0,0.076395564,0.006988535,-0.057240557,0.19979104,-0.024428325,0.24002178,0.08603307,0.237654,0,0.19360861,0.18919873,0.18708485,0.14367911,0.08683751,0.068263456,0.22902007,-0.112368844,-0.07655388,0,-0.050456587,0.10248854,0,0,0.19583704,0.14456984,0.09600407,-0.09919717,-0.08700338,0.14428316,0.2815977,-0.07435872,0.20194761,0.1900372,0.23463401,-0.000940999,-0.06165982,0.24025773,0.27766925,-0.13230933,0.071250975,-0.054273315,-0.06764111,-0.0617403,0.073953584,0.19986895,-0.003856419,-0.0691022,0.15088645,0.21011215,-0.007424993,-0.0207994,0.095604606,0.19091286,0.22414437,0.29514822,0.1195015,-0.019522967,-0.05264645,-0.002700228,-0.04099435,-0.07098873,-0.041177347,0.31227288,0.38351238,-0.0043661,0.054893874,-0.012249773,0,-0.009359103,-0.08488721,-0.045161784,-0.005209453,0.035362117,0.21827245,-0.005330205,0.26166898,-0.039239068,0.29570496,-0.018750563,-0.003821443,-0.013389842,0,0.214835,-0.059649933,0.03245473,-0.020659456,0.35520175,-0.015577181,0.10267851,0.13258453,-0.14602281,0.014385039,0.27908075,0.13664755,0.12911335,0.33648428,0,0,-0.25210828,-0.2441931,0,0.010172004,-0.000517175,-0.07018019,0.11804775,0.2712348,0,0.102246985,0,0.13770685,0.24767153,0.1236163,0.08341601,0.027142307,0.02676397,-0.043132752,-0.003234455,0.048265893,-0.07086719,0.06860598,-0.093366645,-0.08030899,-0.002578273,-0.32426617,-0.19397826,0.008164727,0.005105434,-0.006527408,0.32173285,-0.005111979,-0.27057183,0,0.16169961,-0.13023292,0.05340688,-0.16437759,-0.002321017,0.010032689,0
0.13892491,-0.41516778,-0.18318069,-0.1283577,0.006467167,0.4099882,-0.2393183,0.21679688,0.4089568,-0.34004888,-0.1893084,0.10031493,-0.37233675,0.27225956,0.09228855,-0.027001107,-0.10967831,0.19802593,0.35034367,-0.23409598,-0.22442509,-0.34709188,0.4107603,-0.27979168,0.39467657,0.32293296,-0.00048207,-0.27610493,-0.36880285,0.35538593,0.31936657,-0.33106783,0.34023306,-0.20749207,0.13532114,-0.028067764,0.36118728,0.051021814,-0.47734448,0.2732635,0.27100676,-0.28933176,0.2989277,-0.4579405,-0.26042193,0.4254674,-0.22328028,-0.045014575,0.21340165,-0.22859702,-0.26846787,-0.23442551,-0.34845582,-0.060511995,-0.18534519,-0.35075077,-0.33582604,0.3484285,0.3164127,0.4052171,-0.26774147,-0.017918639,-0.047764745,-0.09475878,0.12907484,0.58149654,0.07523517,0.027769491,-0.17377095,0,0.19907032,0.26435763,-0.026054112,0.054114975,0,-0.07913775,0.10723511,0.1669953,0,-0.04406833,0.103510015,-0.08964777,-0.047532607,0.23776387,-0.077811964,-0.04837122,-0.030586658,-0.13242818,0.047342442,0.2630697,-0.014928936,-0.03108589,0,-0.06833483,-0.006077065,-0.026146106,-0.00962837,-0.028486935,-0.021036176,0.08252823,-0.1767387,-0.07568574,-0.06444506,0.3575785,-0.012872066,-0.19639847,-0.016867206,0.08767767,0,0.19333209,-0.060322262,-0.023688447,-0.05835864,-0.18366411,-0.16533792,0.4504467,-0.049241878,0,0,-0.107494034,-0.030565958,-0.071439646,0,-0.015796231,-0.14528865,-0.030717218,-0.060993843,-0.05221159,0,-0.049092256,-0.088352345,-0.14091048,-0.06986203,-0.038364504,-0.042351194,-0.08101596,0,-0.040134333,0.60609686,-0.096901715,0.101176664,-0.008508394,0.08885772,0.11088786,-0.2222569,-0.12123852,-0.23935884,-0.031994727,-0.11269218,-0.13308148,-0.119997606,0,-0.09498064,-0.08051148,-0.10073765,-0.025019526,-0.003731504,-0.17779413,-0.06985046,-0.014706456,-0.26149768,0,-0.10092816,0.214648,0,-0.07746725,-0.13351925,-0.055116802,-0.057229735,-0.19196768,-0.16937132,0.040490896,0.040598482,-0.08084654,0.32706723,0,-0.073583074,-0.20606126,-0.023845341,-0.30982268,0.19698381,-0.07084211,0,0,-0.15085834,0.06520057,0.1333288,-0.32473978,0,-0.018500865,-0.07709416,0,-0.13102423,-0.10380547,-0.09828253,0,-0.055026703,-0.22543347,0,0.23907936,-0.043435954,-0.27035758,-0.071687855,-0.079533495,-0.10517042,-0.22563557,-0.042317882,-0.1388578,0
